N_dep,spp
5.63566390122287,31
6.243930390337482,18
6.313990212744102,27
7.437774735502899,29
8.00589882209897,27
8.72477335901931,23
9.393661617999896,20
10.326469354564324,19
10.336987358750775,24
10.371202359208837,20
10.795892058173195,23
10.802764530992135,18
10.955599574605003,16
11.399748897645622,17
12.209642533911392,20
13.794666796922684,18
14.802519280230626,17
15.3342382425908,23
15.384375450666994,22
16.500144644174725,14
18.283017726847902,9
18.905224888352677,9
20.062073035165668,22
20.131831109290943,15
20.697161360178143,16
21.595921023981646,15
21.85673958505504,12
22.329258940881118,13
22.462094294140115,13
23.746444093761966,14
24.430269215721637,15
24.57981957332231,10
25.265665737679228,7
25.763642717385665,7
26.57888154615648,14
26.71784761780873,12
27.102507250383496,9
27.446390978759155,6
29.88891567173414,8
30.538709683343768,12
30.766104558948427,11
32.21341389394365,10
32.83289032266475,6
33.28455767221749,9
36.62775595579296,5
36.65185933490284,4
37.24443167424761,3
38.24190508318134,1
38.72216830938123,3
39.659034128300846,3
39.924029861809686,5
40.31641589407809,1
41.00822735670954,2
41.59639570629224,1
41.66397666488774,2
